,date_time,intensity_forecast,intensity_actual
25939,2019-07-13T0945,210,216
25940,2019-07-13T1015,209,216
25941,2019-07-13T1045,213,218
25942,2019-07-13T1115,211,216
25943,2019-07-13T1145,216,211
25944,2019-07-13T1215,214,208
25945,2019-07-13T1245,210,204
25946,2019-07-13T1315,206,201
25947,2019-07-13T1345,203,197
25948,2019-07-13T1415,200,194
25949,2019-07-13T1445,194,199
25950,2019-07-13T1515,194,205
25951,2019-07-13T1545,199,212
25952,2019-07-13T1615,207,216
25953,2019-07-13T1645,215,216
25954,2019-07-13T1715,219,217
25955,2019-07-13T1745,216,219
25956,2019-07-13T1815,216,216
25957,2019-07-13T1845,219,220
25958,2019-07-13T1915,219,223
25959,2019-07-13T1945,224,226
25960,2019-07-13T2015,227,227
25961,2019-07-13T2045,230,229
25962,2019-07-13T2115,232,228
25963,2019-07-13T2145,234,225
25964,2019-07-13T2215,233,223
25965,2019-07-13T2245,229,219
25966,2019-07-13T2315,223,212
25967,2019-07-13T2345,222,213
25968,2019-07-14T0015,213,219
25969,2019-07-14T0045,216,225
25970,2019-07-14T0115,221,228
25971,2019-07-14T0145,235,229
25972,2019-07-14T0215,235,231
25973,2019-07-14T0245,235,232
25974,2019-07-14T0315,232,229
25975,2019-07-14T0345,234,226
25976,2019-07-14T0415,233,222
25977,2019-07-14T0445,227,219
25978,2019-07-14T0515,225,220
25979,2019-07-14T0545,221,224
25980,2019-07-14T0615,225,224
25981,2019-07-14T0645,228,220
25982,2019-07-14T0715,224,218
25983,2019-07-14T0745,215,217
25984,2019-07-14T0815,214,219
25985,2019-07-14T0845,214,219
25986,2019-07-14T0915,216,218
25987,2019-07-14T0945,217,215
25988,2019-07-14T1015,213,216
25989,2019-07-14T1045,211,217
25990,2019-07-14T1115,213,218
25991,2019-07-14T1145,212,221
25992,2019-07-14T1215,213,220
25993,2019-07-14T1245,215,214
25994,2019-07-14T1315,215,209
25995,2019-07-14T1345,211,212
25996,2019-07-14T1415,208,214
25997,2019-07-14T1445,213,215
25998,2019-07-14T1515,215,217
25999,2019-07-14T1545,216,223
26000,2019-07-14T1615,223,229
26001,2019-07-14T1645,229,229
26002,2019-07-14T1715,231,233
26003,2019-07-14T1745,230,235
26004,2019-07-14T1815,231,240
26005,2019-07-14T1845,235,243
26006,2019-07-14T1915,240,249
26007,2019-07-14T1945,246,251
26008,2019-07-14T2015,253,251
26009,2019-07-14T2045,254,256
26010,2019-07-14T2115,257,255
26011,2019-07-14T2145,264,246
26012,2019-07-14T2215,261,239
26013,2019-07-14T2245,247,234
26014,2019-07-14T2315,236,230
26015,2019-07-14T2345,233,229
26016,2019-07-15T0015,232,235
26017,2019-07-15T0045,237,236
26018,2019-07-15T0115,242,234
26019,2019-07-15T0145,239,236
26020,2019-07-15T0215,237,239
26021,2019-07-15T0245,242,243
26022,2019-07-15T0315,245,246
26023,2019-07-15T0345,246,239
26024,2019-07-15T0415,250,236
26025,2019-07-15T0445,236,239
26026,2019-07-15T0515,236,250
26027,2019-07-15T0545,243,270
26028,2019-07-15T0615,259,281
26029,2019-07-15T0645,281,278
26030,2019-07-15T0715,283,273
26031,2019-07-15T0745,272,269
26032,2019-07-15T0815,262,265
26033,2019-07-15T0845,271,260
26034,2019-07-15T0915,257,256
26035,2019-07-15T0945,255,252
26036,2019-07-15T1015,251,249
26037,2019-07-15T1045,248,247
26038,2019-07-15T1115,242,246
26039,2019-07-15T1145,240,243
26040,2019-07-15T1215,241,239
26041,2019-07-15T1245,238,238
26042,2019-07-15T1315,236,238
26043,2019-07-15T1345,235,242
26044,2019-07-15T1415,237,246
26045,2019-07-15T1445,241,248
26046,2019-07-15T1515,246,252
26047,2019-07-15T1545,251,254
26048,2019-07-15T1615,254,257
26049,2019-07-15T1645,256,265
26050,2019-07-15T1715,260,273
26051,2019-07-15T1745,270,279
26052,2019-07-15T1815,277,285
26053,2019-07-15T1845,282,290
26054,2019-07-15T1915,289,296
26055,2019-07-15T1945,294,300
26056,2019-07-15T2015,301,298
26057,2019-07-15T2045,304,299
26058,2019-07-15T2115,305,293
26059,2019-07-15T2145,304,286
26060,2019-07-15T2215,299,277
26061,2019-07-15T2245,288,270
26062,2019-07-15T2315,275,265
26063,2019-07-15T2345,271,260
26064,2019-07-16T0015,265,254
26065,2019-07-16T0045,260,254
26066,2019-07-16T0115,262,257
26067,2019-07-16T0145,261,257
26068,2019-07-16T0215,262,256
26069,2019-07-16T0245,260,254
26070,2019-07-16T0315,257,252
26071,2019-07-16T0345,254,253
26072,2019-07-16T0415,255,259
26073,2019-07-16T0445,254,268
26074,2019-07-16T0515,262,277
26075,2019-07-16T0545,271,287
26076,2019-07-16T0615,285,282
26077,2019-07-16T0645,291,274
26078,2019-07-16T0715,284,265
26079,2019-07-16T0745,266,258
26080,2019-07-16T0815,252,253
26081,2019-07-16T0845,246,249
26082,2019-07-16T0915,244,243
26083,2019-07-16T0945,243,239
26084,2019-07-16T1015,237,233
26085,2019-07-16T1045,235,232
26086,2019-07-16T1115,229,229
26087,2019-07-16T1145,232,228
26088,2019-07-16T1215,230,227
26089,2019-07-16T1245,230,228
26090,2019-07-16T1315,226,230
26091,2019-07-16T1345,225,233
26092,2019-07-16T1415,231,240
26093,2019-07-16T1445,235,246
26094,2019-07-16T1515,242,252
26095,2019-07-16T1545,248,254
26096,2019-07-16T1615,254,258
26097,2019-07-16T1645,256,263
26098,2019-07-16T1715,259,267
26099,2019-07-16T1745,263,271
26100,2019-07-16T1815,263,276
26101,2019-07-16T1845,272,280
26102,2019-07-16T1915,278,284
26103,2019-07-16T1945,281,286
26104,2019-07-16T2015,287,286
26105,2019-07-16T2045,290,288
26106,2019-07-16T2115,292,281
26107,2019-07-16T2145,294,272
26108,2019-07-16T2215,287,257
26109,2019-07-16T2245,273,244
26110,2019-07-16T2315,252,238
26111,2019-07-16T2345,250,237
26112,2019-07-17T0015,239,236
26113,2019-07-17T0045,243,239
26114,2019-07-17T0115,241,239
26115,2019-07-17T0145,246,240
26116,2019-07-17T0215,246,242
26117,2019-07-17T0245,246,240
26118,2019-07-17T0315,247,242
26119,2019-07-17T0345,243,241
26120,2019-07-17T0415,242,247
26121,2019-07-17T0445,248,250
26122,2019-07-17T0515,252,255
26123,2019-07-17T0545,251,262
26124,2019-07-17T0615,263,259
26125,2019-07-17T0645,267,246
26126,2019-07-17T0715,257,239
26127,2019-07-17T0745,238,232
26128,2019-07-17T0815,228,226
26129,2019-07-17T0845,221,216
26130,2019-07-17T0915,219,209
26131,2019-07-17T0945,210,198
26132,2019-07-17T1015,202,188
26133,2019-07-17T1045,191,190
26134,2019-07-17T1115,185,188
26135,2019-07-17T1145,187,184
26136,2019-07-17T1215,187,185
26137,2019-07-17T1245,184,190
26138,2019-07-17T1315,183,191
26139,2019-07-17T1345,194,195
26140,2019-07-17T1415,197,202
26141,2019-07-17T1445,201,203
26142,2019-07-17T1515,209,202
26143,2019-07-17T1545,204,209
26144,2019-07-17T1615,206,218
26145,2019-07-17T1645,216,221
26146,2019-07-17T1715,223,218
26147,2019-07-17T1745,225,214
26148,2019-07-17T1815,218,214
26149,2019-07-17T1845,214,218
26150,2019-07-17T1915,217,221
26151,2019-07-17T1945,219,227
26152,2019-07-17T2015,224,228
26153,2019-07-17T2045,233,232
26154,2019-07-17T2115,232,232
26155,2019-07-17T2145,239,210
26156,2019-07-17T2215,234,193
26157,2019-07-17T2245,202,195
26158,2019-07-17T2315,188,206
26159,2019-07-17T2345,186,218
26160,2019-07-18T0015,213,223
26161,2019-07-18T0045,225,228
26162,2019-07-18T0115,231,227
26163,2019-07-18T0145,233,227
26164,2019-07-18T0215,232,228
26165,2019-07-18T0245,230,230
26166,2019-07-18T0315,230,228
26167,2019-07-18T0345,233,221
26168,2019-07-18T0415,226,222
26169,2019-07-18T0445,216,226
26170,2019-07-18T0515,221,231
26171,2019-07-18T0545,229,240
26172,2019-07-18T0615,241,240
26173,2019-07-18T0645,247,233
26174,2019-07-18T0715,242,228
26175,2019-07-18T0745,229,226
26176,2019-07-18T0815,221,222
26177,2019-07-18T0845,223,220
26178,2019-07-18T0915,217,215
26179,2019-07-18T0945,214,209
26180,2019-07-18T1015,209,202
26181,2019-07-18T1045,205,198
26182,2019-07-18T1115,199,196
26183,2019-07-18T1145,197,194
26184,2019-07-18T1215,193,190
26185,2019-07-18T1245,190,187
26186,2019-07-18T1315,186,187
26187,2019-07-18T1345,188,186
26188,2019-07-18T1415,188,191
26189,2019-07-18T1445,186,195
26190,2019-07-18T1515,194,196
26191,2019-07-18T1545,196,198
26192,2019-07-18T1615,199,202
26193,2019-07-18T1645,200,205
26194,2019-07-18T1715,205,211
26195,2019-07-18T1745,210,220
26196,2019-07-18T1815,213,234
26197,2019-07-18T1845,227,242
26198,2019-07-18T1915,238,248
26199,2019-07-18T1945,247,253
26200,2019-07-18T2015,253,255
26201,2019-07-18T2045,257,257
26202,2019-07-18T2115,261,253
26203,2019-07-18T2145,262,245
26204,2019-07-18T2215,256,232
26205,2019-07-18T2245,243,221
26206,2019-07-18T2315,225,217
26207,2019-07-18T2345,220,215
26208,2019-07-19T0015,216,215
26209,2019-07-19T0045,218,212
26210,2019-07-19T0115,216,209
26211,2019-07-19T0145,208,207
26212,2019-07-19T0215,212,206
26213,2019-07-19T0245,209,206
26214,2019-07-19T0315,206,211
26215,2019-07-19T0345,210,219
26216,2019-07-19T0415,214,234
26217,2019-07-19T0445,230,243
26218,2019-07-19T0515,241,253
26219,2019-07-19T0545,248,262
26220,2019-07-19T0615,262,267
26221,2019-07-19T0645,273,263
26222,2019-07-19T0715,273,261
26223,2019-07-19T0745,263,253
26224,2019-07-19T0815,252,246
26225,2019-07-19T0845,239,245
26226,2019-07-19T0915,235,246
26227,2019-07-19T0945,243,244
26228,2019-07-19T1015,243,239
26229,2019-07-19T1045,238,236
26230,2019-07-19T1115,236,229
26231,2019-07-19T1145,231,225
26232,2019-07-19T1215,226,202
26233,2019-07-19T1245,220,209
26234,2019-07-19T1315,186,212
26235,2019-07-19T1345,201,214
26236,2019-07-19T1415,217,217
26237,2019-07-19T1445,216,224
26238,2019-07-19T1515,216,227
26239,2019-07-19T1545,226,221
26240,2019-07-19T1615,223,222
26241,2019-07-19T1645,218,222
26242,2019-07-19T1715,223,220
26243,2019-07-19T1745,223,219
26244,2019-07-19T1815,219,223
26245,2019-07-19T1845,219,224
26246,2019-07-19T1915,224,222
26247,2019-07-19T1945,224,223
26248,2019-07-19T2015,221,226
26249,2019-07-19T2045,227,220
26250,2019-07-19T2115,227,212
26251,2019-07-19T2145,222,184
26252,2019-07-19T2215,211,163
26253,2019-07-19T2245,168,163
26254,2019-07-19T2315,156,157
26255,2019-07-19T2345,150,154
26256,2019-07-20T0015,155,145
26257,2019-07-20T0045,153,140
26258,2019-07-20T0115,142,147
26259,2019-07-20T0145,145,146
26260,2019-07-20T0215,152,147
26261,2019-07-20T0245,149,153
26262,2019-07-20T0315,151,160
26263,2019-07-20T0345,160,155
26264,2019-07-20T0415,163,151
26265,2019-07-20T0445,155,148
26266,2019-07-20T0515,154,153
26267,2019-07-20T0545,148,169
26268,2019-07-20T0615,161,177
26269,2019-07-20T0645,177,181
26270,2019-07-20T0715,182,180
26271,2019-07-20T0745,182,174
26272,2019-07-20T0815,174,164
26273,2019-07-20T0845,166,154
26274,2019-07-20T0915,153,141
26275,2019-07-20T0945,142,129
26276,2019-07-20T1015,130,121
26277,2019-07-20T1045,119,114
26278,2019-07-20T1115,111,112
26279,2019-07-20T1145,110,105
26280,2019-07-20T1215,105,97
26281,2019-07-20T1245,98,92
26282,2019-07-20T1315,90,91
26283,2019-07-20T1345,85,96
26284,2019-07-20T1415,92,101
26285,2019-07-20T1445,99,104
26286,2019-07-20T1515,107,108
26287,2019-07-20T1545,107,119
26288,2019-07-20T1615,111,127
26289,2019-07-20T1645,129,133
26290,2019-07-20T1715,143,141
26291,2019-07-20T1745,146,152
26292,2019-07-20T1815,145,163
26293,2019-07-20T1845,160,169
26294,2019-07-20T1915,171,174
26295,2019-07-20T1945,176,178
26296,2019-07-20T2015,182,179
26297,2019-07-20T2045,187,182
26298,2019-07-20T2115,185,187
26299,2019-07-20T2145,193,188
26300,2019-07-20T2215,197,178
26301,2019-07-20T2245,186,169
26302,2019-07-20T2315,174,162
26303,2019-07-20T2345,169,161
26304,2019-07-21T0015,157,162
26305,2019-07-21T0045,160,160
26306,2019-07-21T0115,162,160
26307,2019-07-21T0145,163,160
26308,2019-07-21T0215,167,160
26309,2019-07-21T0245,164,164
26310,2019-07-21T0315,159,172
26311,2019-07-21T0345,169,179
26312,2019-07-21T0415,176,183
26313,2019-07-21T0445,184,188
26314,2019-07-21T0515,187,197
26315,2019-07-21T0545,193,197
26316,2019-07-21T0615,201,198
26317,2019-07-21T0645,203,192
26318,2019-07-21T0715,201,188
26319,2019-07-21T0745,191,180
26320,2019-07-21T0815,182,172
26321,2019-07-21T0845,173,168
26322,2019-07-21T0915,165,167
26323,2019-07-21T0945,162,166
26324,2019-07-21T1015,160,162
26325,2019-07-21T1045,157,159
26326,2019-07-21T1115,157,149
26327,2019-07-21T1145,149,137
26328,2019-07-21T1215,141,128
26329,2019-07-21T1245,130,121
26330,2019-07-21T1315,122,121
26331,2019-07-21T1345,116,117
26332,2019-07-21T1415,118,114
26333,2019-07-21T1445,115,120
26334,2019-07-21T1515,115,124
26335,2019-07-21T1545,123,126
26336,2019-07-21T1615,126,133
26337,2019-07-21T1645,132,135
26338,2019-07-21T1715,138,138
26339,2019-07-21T1745,140,144
26340,2019-07-21T1815,140,150
26341,2019-07-21T1845,146,153
26342,2019-07-21T1915,149,153
26343,2019-07-21T1945,156,158
26344,2019-07-21T2015,152,158
26345,2019-07-21T2045,159,151
26346,2019-07-21T2115,158,142
26347,2019-07-21T2145,149,141
26348,2019-07-21T2215,137,129
26349,2019-07-21T2245,139,121
26350,2019-07-21T2315,126,119
26351,2019-07-21T2345,128,119
26352,2019-07-22T0015,123,115
26353,2019-07-22T0045,123,118
26354,2019-07-22T0115,119,122
26355,2019-07-22T0145,123,127
26356,2019-07-22T0215,125,134
26357,2019-07-22T0245,145,141
26358,2019-07-22T0315,150,139
26359,2019-07-22T0345,143,129
26360,2019-07-22T0415,136,128
26361,2019-07-22T0445,125,133
26362,2019-07-22T0515,128,141
26363,2019-07-22T0545,134,150
26364,2019-07-22T0615,142,158
26365,2019-07-22T0645,149,165
26366,2019-07-22T0715,153,166
26367,2019-07-22T0745,160,164
26368,2019-07-22T0815,159,161
26369,2019-07-22T0845,164,158
26370,2019-07-22T0915,153,155
26371,2019-07-22T0945,152,153
26372,2019-07-22T1015,151,152
26373,2019-07-22T1045,145,152
26374,2019-07-22T1115,149,150
26375,2019-07-22T1145,148,151
26376,2019-07-22T1215,148,150
26377,2019-07-22T1245,152,149
26378,2019-07-22T1315,154,149
26379,2019-07-22T1345,150,148
26380,2019-07-22T1415,152,152
26381,2019-07-22T1445,151,160
26382,2019-07-22T1515,160,165
26383,2019-07-22T1545,166,171
26384,2019-07-22T1615,169,176
26385,2019-07-22T1645,175,179
26386,2019-07-22T1715,182,183
26387,2019-07-22T1745,183,189
26388,2019-07-22T1815,186,194
26389,2019-07-22T1845,192,192
26390,2019-07-22T1915,195,194
26391,2019-07-22T1945,194,199
26392,2019-07-22T2015,198,201
26393,2019-07-22T2045,205,199
26394,2019-07-22T2115,208,189
26395,2019-07-22T2145,204,171
26396,2019-07-22T2215,188,155
26397,2019-07-22T2245,163,152
26398,2019-07-22T2315,151,149
26399,2019-07-22T2345,149,152
26400,2019-07-23T0015,148,157
26401,2019-07-23T0045,158,167
26402,2019-07-23T0115,166,178
26403,2019-07-23T0145,180,178
26404,2019-07-23T0215,188,179
26405,2019-07-23T0245,186,175
26406,2019-07-23T0315,185,175
26407,2019-07-23T0345,177,183
26408,2019-07-23T0415,183,191
26409,2019-07-23T0445,189,209
26410,2019-07-23T0515,198,226
26411,2019-07-23T0545,224,244
26412,2019-07-23T0615,241,252
26413,2019-07-23T0645,262,240
26414,2019-07-23T0715,258,234
26415,2019-07-23T0745,230,224
26416,2019-07-23T0815,223,213
26417,2019-07-23T0845,210,215
26418,2019-07-23T0915,200,219
26419,2019-07-23T0945,211,214
26420,2019-07-23T1015,210,208
26421,2019-07-23T1045,210,204
26422,2019-07-23T1115,206,200
26423,2019-07-23T1145,199,205
26424,2019-07-23T1215,200,209
26425,2019-07-23T1245,208,208
26426,2019-07-23T1315,208,205
26427,2019-07-23T1345,205,211
26428,2019-07-23T1415,206,220
26429,2019-07-23T1445,213,222
26430,2019-07-23T1515,223,224
26431,2019-07-23T1545,224,230
26432,2019-07-23T1615,228,235
26433,2019-07-23T1645,233,243
26434,2019-07-23T1715,241,246
26435,2019-07-23T1745,246,252
26436,2019-07-23T1815,248,258
26437,2019-07-23T1845,257,261
26438,2019-07-23T1915,262,261
26439,2019-07-23T1945,267,264
26440,2019-07-23T2015,269,265
26441,2019-07-23T2045,266,254
26442,2019-07-23T2115,267,234
26443,2019-07-23T2145,247,218
26444,2019-07-23T2215,227,197
26445,2019-07-23T2245,206,184
26446,2019-07-23T2315,181,175
26447,2019-07-23T2345,164,175
26448,2019-07-24T0015,166,177
26449,2019-07-24T0045,181,168
26450,2019-07-24T0115,182,167
26451,2019-07-24T0145,167,169
26452,2019-07-24T0215,168,176
26453,2019-07-24T0245,174,196
26454,2019-07-24T0315,190,210
26455,2019-07-24T0345,214,210
26456,2019-07-24T0415,221,216
26457,2019-07-24T0445,213,243
26458,2019-07-24T0515,220,263
26459,2019-07-24T0545,260,267
26460,2019-07-24T0615,276,264
26461,2019-07-24T0645,276,255
26462,2019-07-24T0715,264,248
26463,2019-07-24T0745,251,246
26464,2019-07-24T0815,240,246
26465,2019-07-24T0845,241,244
26466,2019-07-24T0915,240,241
26467,2019-07-24T0945,238,234
26468,2019-07-24T1015,234,228
26469,2019-07-24T1045,227,227
26470,2019-07-24T1115,227,220
26471,2019-07-24T1145,225,218
26472,2019-07-24T1215,217,221
26473,2019-07-24T1245,219,226
26474,2019-07-24T1315,222,233
26475,2019-07-24T1345,229,232
26476,2019-07-24T1415,237,233
26477,2019-07-24T1445,231,234
26478,2019-07-24T1515,238,239
26479,2019-07-24T1545,237,245
26480,2019-07-24T1615,246,250
26481,2019-07-24T1645,250,259
26482,2019-07-24T1715,256,266
26483,2019-07-24T1745,265,272
26484,2019-07-24T1815,273,269
26485,2019-07-24T1845,263,285
26486,2019-07-24T1915,291,294
26487,2019-07-24T1945,282,300
26488,2019-07-24T2015,296,304
26489,2019-07-24T2045,69,309
26490,2019-07-24T2115,13579,304
26491,2019-07-24T2145,15,289
26492,2019-07-24T2215,11513,279
26493,2019-07-24T2245,12,286
26494,2019-07-24T2315,276,292
26495,2019-07-24T2345,270,294
26496,2019-07-25T0015,296,295
26497,2019-07-25T0045,294,288
26498,2019-07-25T0115,302,282
26499,2019-07-25T0145,276,286
26500,2019-07-25T0215,281,290
26501,2019-07-25T0245,293,306
26502,2019-07-25T0315,298,314
26503,2019-07-25T0345,315,301
26504,2019-07-25T0415,316,283
26505,2019-07-25T0445,298,262
26506,2019-07-25T0515,268,262
26507,2019-07-25T0545,251,257
26508,2019-07-25T0615,259,250
26509,2019-07-25T0645,258,242
26510,2019-07-25T0715,250,236
26511,2019-07-25T0745,238,231
26512,2019-07-25T0815,227,226
26513,2019-07-25T0845,231,224
26514,2019-07-25T0915,218,222
26515,2019-07-25T0945,217,214
26516,2019-07-25T1015,212,206
26517,2019-07-25T1045,207,203
26518,2019-07-25T1115,203,202
26519,2019-07-25T1145,205,201
26520,2019-07-25T1215,203,200
26521,2019-07-25T1245,200,203
26522,2019-07-25T1315,201,208
26523,2019-07-25T1345,205,210
26524,2019-07-25T1415,210,213
26525,2019-07-25T1445,212,219
26526,2019-07-25T1515,219,225
26527,2019-07-25T1545,224,231
26528,2019-07-25T1615,226,240
26529,2019-07-25T1645,235,246
26530,2019-07-25T1715,245,251
26531,2019-07-25T1745,249,252
26532,2019-07-25T1815,252,249
26533,2019-07-25T1845,247,246
26534,2019-07-25T1915,253,254
26535,2019-07-25T1945,251,258
26536,2019-07-25T2015,247,263
26537,2019-07-25T2045,268,264
26538,2019-07-25T2115,270,256
26539,2019-07-25T2145,269,227
26540,2019-07-25T2215,285,206
26541,2019-07-25T2245,198,209
26542,2019-07-25T2315,200,221
26543,2019-07-25T2345,196,229
26544,2019-07-26T0015,232,227
26545,2019-07-26T0045,237,219
26546,2019-07-26T0115,232,213
26547,2019-07-26T0145,219,211
26548,2019-07-26T0215,214,215
26549,2019-07-26T0245,215,239
26550,2019-07-26T0315,227,245
26551,2019-07-26T0345,253,237
26552,2019-07-26T0415,247,237
26553,2019-07-26T0445,239,257
26554,2019-07-26T0515,244,272
26555,2019-07-26T0545,267,281
26556,2019-07-26T0615,285,278
26557,2019-07-26T0645,288,263
26558,2019-07-26T0715,281,254
26559,2019-07-26T0745,252,250
26560,2019-07-26T0815,241,248
26561,2019-07-26T0845,239,250
26562,2019-07-26T0915,241,252
26563,2019-07-26T0945,248,249
26564,2019-07-26T1015,246,252
26565,2019-07-26T1045,246,245
26566,2019-07-26T1115,248,239
26567,2019-07-26T1145,236,229
26568,2019-07-26T1215,235,220
26569,2019-07-26T1245,223,221
26570,2019-07-26T1315,220,221
26571,2019-07-26T1345,222,220
26572,2019-07-26T1415,221,220
26573,2019-07-26T1445,219,223
26574,2019-07-26T1515,222,231
26575,2019-07-26T1545,227,245
26576,2019-07-26T1615,237,258
26577,2019-07-26T1645,255,261
26578,2019-07-26T1715,267,260
26579,2019-07-26T1745,263,263
26580,2019-07-26T1815,258,269
26581,2019-07-26T1845,268,268
26582,2019-07-26T1915,274,272
26583,2019-07-26T1945,272,273
26584,2019-07-26T2015,276,275
26585,2019-07-26T2045,278,277
26586,2019-07-26T2115,281,276
26587,2019-07-26T2145,283,266
26588,2019-07-26T2215,277,254
26589,2019-07-26T2245,262,244
26590,2019-07-26T2315,248,237
26591,2019-07-26T2345,247,237
26592,2019-07-27T0015,237,241
26593,2019-07-27T0045,243,252
26594,2019-07-27T0115,248,262
26595,2019-07-27T0145,261,263
26596,2019-07-27T0215,276,262
26597,2019-07-27T0245,265,255
26598,2019-07-27T0315,263,252
26599,2019-07-27T0345,259,244
26600,2019-07-27T0415,256,238
26601,2019-07-27T0445,243,232
26602,2019-07-27T0515,239,227
26603,2019-07-27T0545,227,236
26604,2019-07-27T0615,229,243
26605,2019-07-27T0645,242,244
26606,2019-07-27T0715,248,248
26607,2019-07-27T0745,244,244
26608,2019-07-27T0815,243,239
26609,2019-07-27T0845,238,233
26610,2019-07-27T0915,232,235
26611,2019-07-27T0945,230,233
26612,2019-07-27T1015,231,232
26613,2019-07-27T1045,230,228
26614,2019-07-27T1115,223,226
26615,2019-07-27T1145,220,229
26616,2019-07-27T1215,220,232
26617,2019-07-27T1245,225,228
26618,2019-07-27T1315,229,219
26619,2019-07-27T1345,226,217
26620,2019-07-27T1415,217,217
26621,2019-07-27T1445,214,216
26622,2019-07-27T1515,213,221
26623,2019-07-27T1545,216,223
26624,2019-07-27T1615,223,221
26625,2019-07-27T1645,226,223
26626,2019-07-27T1715,220,222
26627,2019-07-27T1745,220,226
26628,2019-07-27T1815,222,229
26629,2019-07-27T1845,224,228
26630,2019-07-27T1915,229,231
26631,2019-07-27T1945,229,233
26632,2019-07-27T2015,229,238
26633,2019-07-27T2045,238,231
26634,2019-07-27T2115,228,221
26635,2019-07-27T2145,244,209
26636,2019-07-27T2215,217,195
26637,2019-07-27T2245,201,187
26638,2019-07-27T2315,186,166
26639,2019-07-27T2345,175,155
26640,2019-07-28T0015,155,152
26641,2019-07-28T0045,158,148
26642,2019-07-28T0115,151,150
26643,2019-07-28T0145,150,151
26644,2019-07-28T0215,159,152
26645,2019-07-28T0245,156,151
26646,2019-07-28T0315,152,153
26647,2019-07-28T0345,152,154
26648,2019-07-28T0415,156,157
26649,2019-07-28T0445,156,153
26650,2019-07-28T0515,156,154
26651,2019-07-28T0545,155,151
26652,2019-07-28T0615,158,150
26653,2019-07-28T0645,155,162
26654,2019-07-28T0715,155,177
26655,2019-07-28T0745,170,178
26656,2019-07-28T0815,181,183
26657,2019-07-28T0845,183,185
26658,2019-07-28T0915,183,184
26659,2019-07-28T0945,184,188
26660,2019-07-28T1015,182,190
26661,2019-07-28T1045,185,192
26662,2019-07-28T1115,185,192
26663,2019-07-28T1145,184,188
26664,2019-07-28T1215,186,185
26665,2019-07-28T1245,180,181
26666,2019-07-28T1315,177,181
26667,2019-07-28T1345,176,188
26668,2019-07-28T1415,179,195
26669,2019-07-28T1445,188,202
26670,2019-07-28T1515,197,206
26671,2019-07-28T1545,204,210
26672,2019-07-28T1615,205,221
26673,2019-07-28T1645,214,228
26674,2019-07-28T1715,228,233
26675,2019-07-28T1745,233,239
26676,2019-07-28T1815,233,244
26677,2019-07-28T1845,239,249
26678,2019-07-28T1915,252,254
26679,2019-07-28T1945,255,257
26680,2019-07-28T2015,259,253
26681,2019-07-28T2045,270,247
26682,2019-07-28T2115,244,245
26683,2019-07-28T2145,267,230
26684,2019-07-28T2215,231,216
26685,2019-07-28T2245,236,209
26686,2019-07-28T2315,211,210
26687,2019-07-28T2345,208,217
26688,2019-07-29T0015,209,227
26689,2019-07-29T0045,221,229
26690,2019-07-29T0115,238,230
26691,2019-07-29T0145,220,230
26692,2019-07-29T0215,233,229
26693,2019-07-29T0245,235,223
26694,2019-07-29T0315,236,220
26695,2019-07-29T0345,230,202
26696,2019-07-29T0415,220,196
26697,2019-07-29T0445,203,207
26698,2019-07-29T0515,197,218
26699,2019-07-29T0545,213,236
26700,2019-07-29T0615,225,253
26701,2019-07-29T0645,250,250
26702,2019-07-29T0715,261,245
26703,2019-07-29T0745,250,245
26704,2019-07-29T0815,238,244
26705,2019-07-29T0845,240,232
26706,2019-07-29T0915,233,224
26707,2019-07-29T0945,217,220
26708,2019-07-29T1015,207,216
26709,2019-07-29T1045,216,216
26710,2019-07-29T1115,216,217
26711,2019-07-29T1145,218,220
26712,2019-07-29T1215,217,222
26713,2019-07-29T1245,218,222
26714,2019-07-29T1315,219,221
26715,2019-07-29T1345,219,228
26716,2019-07-29T1415,223,237
26717,2019-07-29T1445,233,243
26718,2019-07-29T1515,242,255
26719,2019-07-29T1545,249,263
26720,2019-07-29T1615,261,265
26721,2019-07-29T1645,267,267
26722,2019-07-29T1715,266,268
26723,2019-07-29T1745,268,272
26724,2019-07-29T1815,270,277
26725,2019-07-29T1845,275,279
26726,2019-07-29T1915,278,281
26727,2019-07-29T1945,272,278
26728,2019-07-29T2015,282,277
26729,2019-07-29T2045,286,262
26730,2019-07-29T2115,278,245
26731,2019-07-29T2145,275,229
26732,2019-07-29T2215,241,208
26733,2019-07-29T2245,224,194
26734,2019-07-29T2315,198,182
26735,2019-07-29T2345,194,174
26736,2019-07-30T0015,179,171
26737,2019-07-30T0045,164,174
26738,2019-07-30T0115,174,177
26739,2019-07-30T0145,172,181
26740,2019-07-30T0215,184,184
26741,2019-07-30T0245,193,191
26742,2019-07-30T0315,197,193
26743,2019-07-30T0345,200,185
26744,2019-07-30T0415,195,185
26745,2019-07-30T0445,183,203
26746,2019-07-30T0515,189,223
26747,2019-07-30T0545,210,230
26748,2019-07-30T0615,234,234
26749,2019-07-30T0645,242,230
26750,2019-07-30T0715,238,229
26751,2019-07-30T0745,229,231
26752,2019-07-30T0815,224,234
26753,2019-07-30T0845,229,232
26754,2019-07-30T0915,229,230
26755,2019-07-30T0945,226,230
26756,2019-07-30T1015,227,226
26757,2019-07-30T1045,228,226
26758,2019-07-30T1115,228,224
26759,2019-07-30T1145,226,221
26760,2019-07-30T1215,223,218
